datetime,[[t1,t2,t3],[h1,h2,h3]]
2023-11-30 22:10:31.245433,[[24.70,25.00,25.90],[0.00,32.60,78.10]]
2023-11-30 22:10:32.355823,[[24.70,25.00,25.90],[0.00,32.60,78.10]]
2023-11-30 22:10:33.462129,[[24.80,25.00,26.00],[27.40,20.00,20.00]]
2023-11-30 22:10:34.573172,[[24.80,25.00,26.00],[27.40,20.00,20.00]]
2023-11-30 22:39:13.107506,Hello! Arduino has started

2023-11-30 22:39:14.298023,[[23.90,24.70,23.00],[20.00,20.00,20.00]]
2023-11-30 22:39:15.406989,[[23.90,24.70,23.00],[20.00,20.00,20.00]]
2023-11-30 22:39:16.514649,[[23.90,24.50,23.00],[27.20,20.00,20.00]]
2023-11-30 22:39:17.618321,[[23.90,24.50,23.00],[27.20,20.00,20.00]]
2023-11-30 22:41:47.420195,Hello! Arduino has started

2023-11-30 22:41:48.612857,[[24.20,24.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:41:49.722512,[[24.20,24.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:41:50.833825,[[24.30,24.80,22.90],[31.30,20.00,20.00]]
2023-11-30 22:41:51.940998,[[24.30,24.80,22.90],[31.30,20.00,20.00]]
2023-11-30 22:42:00.121396,Hello! Arduino has started

2023-11-30 22:42:01.311421,[[24.30,24.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:42:02.422234,[[24.30,24.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:42:03.531902,[[24.30,24.90,22.90],[30.10,20.00,20.00]]
2023-11-30 22:42:04.638081,[[24.30,24.90,22.90],[30.10,20.00,20.00]]
2023-11-30 22:42:05.745528,[[24.30,24.90,22.90],[38.10,31.00,20.00]]
2023-11-30 22:42:06.855922,[[24.30,24.90,22.90],[38.10,31.00,20.00]]
2023-11-30 22:42:07.966823,[[24.30,24.90,22.90],[38.10,31.00,20.00]]
2023-11-30 22:42:09.075626,[[24.30,24.90,22.90],[38.10,31.00,20.00]]
2023-11-30 22:42:10.177312,[[24.30,24.90,22.90],[38.10,36.60,20.00]]
2023-11-30 22:42:11.284751,[[24.30,24.90,22.90],[38.10,36.60,20.00]]
2023-11-30 22:42:32.069132,Hello! Arduino has started

2023-11-30 22:42:33.266478,[[24.20,25.50,22.90],[20.00,27.60,20.00]]
2023-11-30 22:42:34.426336,[[24.20,25.50,22.90],[20.00,27.60,20.00]]
2023-11-30 22:42:35.540251,[[24.30,25.60,22.90],[31.30,78.20,20.00]]
2023-11-30 22:42:36.648994,[[24.30,25.60,22.90],[31.30,78.20,20.00]]
2023-11-30 22:42:37.753001,[[24.30,25.60,22.90],[38.10,20.00,20.00]]
2023-11-30 22:42:38.861996,[[24.30,25.60,22.90],[38.10,20.00,20.00]]
2023-11-30 22:42:39.971002,[[24.30,25.80,22.90],[36.00,27.10,20.00]]
2023-11-30 22:42:41.078124,[[24.30,25.80,22.90],[36.00,27.10,20.00]]
2023-11-30 22:42:42.181280,[[24.30,25.90,22.90],[38.10,33.60,20.00]]
2023-11-30 22:42:43.291425,[[24.30,25.90,22.90],[38.10,33.60,20.00]]
2023-11-30 22:43:05.642520,Hello! Arduino has started

2023-11-30 22:43:06.835126,[[24.20,27.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:43:07.947952,[[24.20,27.80,22.90],[20.00,20.00,20.00]]
2023-11-30 22:43:09.066766,[[24.20,27.90,22.90],[28.10,20.00,20.00]]
2023-11-30 22:43:10.187498,[[24.20,27.90,22.90],[28.10,20.00,20.00]]
2023-11-30 22:43:11.298757,[[24.20,28.00,22.90],[34.30,20.00,20.00]]
2023-11-30 22:43:12.410633,[[24.20,28.00,22.90],[34.30,20.00,20.00]]
2023-11-30 22:43:13.521137,[[24.20,28.00,23.00],[34.30,20.00,33.10]]
2023-11-30 22:43:14.624071,[[24.20,28.00,23.00],[34.30,20.00,33.10]]
2023-11-30 22:43:15.733720,[[24.30,28.10,23.10],[34.20,20.00,39.50]]
2023-11-30 22:43:16.842590,[[24.30,28.10,23.10],[34.20,20.00,39.50]]
